2026-04-02 20:26:22 status half-configured libarchive13t64:amd64 3.7.2-2ubuntu0.5
2026-04-02 20:26:22 status unpacked libarchive13t64:amd64 3.7.2-2ubuntu0.5
2026-04-02 20:26:22 status half-installed libarchive13t64:amd64 3.7.2-2ubuntu0.5
2026-04-02 20:26:22 status unpacked libarchive13t64:amd64 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 startup packages configure
2026-04-02 20:26:22 configure libarchive13t64:amd64 3.7.2-2ubuntu0.6 <none>
2026-04-02 20:26:22 status unpacked libarchive13t64:amd64 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 status half-configured libarchive13t64:amd64 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 status installed libarchive13t64:amd64 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 configure libarchive-dev:amd64 3.7.2-2ubuntu0.6 <none>
2026-04-02 20:26:22 status unpacked libarchive-dev:amd64 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 status half-configured libarchive-dev:amd64 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 status installed libarchive-dev:amd64 3.7.2-2ubuntu0.6
2026-04-02 20:26:22 trigproc man-db:amd64 2.12.0-4build2 <none>
2026-04-02 20:26:22 status half-configured man-db:amd64 2.12.0-4build2
2026-04-02 20:26:23 status installed man-db:amd64 2.12.0-4build2
2026-04-02 20:26:23 trigproc libc-bin:amd64 2.39-0ubuntu8.7 <none>
2026-04-02 20:26:23 status half-configured libc-bin:amd64 2.39-0ubuntu8.7
2026-04-02 20:26:23 status installed libc-bin:amd64 2.39-0ubuntu8.7
2026-04-03 08:18:13 startup archives unpack
2026-04-03 08:18:14 upgrade netplan-generator:amd64 1.1.2-8ubuntu1~24.04.1 1.1.2-8ubuntu1~24.04.2
2026-04-03 08:18:14 status half-configured netplan-generator:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:14 status unpacked netplan-generator:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:14 status half-installed netplan-generator:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:14 status triggers-pending man-db:amd64 2.12.0-4build2
2026-04-03 08:18:14 status unpacked netplan-generator:amd64 1.1.2-8ubuntu1~24.04.2
2026-04-03 08:18:14 upgrade python3-netplan:amd64 1.1.2-8ubuntu1~24.04.1 1.1.2-8ubuntu1~24.04.2
2026-04-03 08:18:14 status half-configured python3-netplan:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:14 status unpacked python3-netplan:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:14 status half-installed python3-netplan:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:14 status unpacked python3-netplan:amd64 1.1.2-8ubuntu1~24.04.2
2026-04-03 08:18:14 upgrade netplan.io:amd64 1.1.2-8ubuntu1~24.04.1 1.1.2-8ubuntu1~24.04.2
2026-04-03 08:18:14 status half-configured netplan.io:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:14 status unpacked netplan.io:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:14 status half-installed netplan.io:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:14 status triggers-pending dbus:amd64 1.14.10-4ubuntu4.1
2026-04-03 08:18:14 status unpacked netplan.io:amd64 1.1.2-8ubuntu1~24.04.2
2026-04-03 08:18:14 upgrade libnetplan1:amd64 1.1.2-8ubuntu1~24.04.1 1.1.2-8ubuntu1~24.04.2
2026-04-03 08:18:14 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.7
2026-04-03 08:18:14 status half-configured libnetplan1:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:15 status unpacked libnetplan1:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:15 status half-installed libnetplan1:amd64 1.1.2-8ubuntu1~24.04.1
2026-04-03 08:18:15 status unpacked libnetplan1:amd64 1.1.2-8ubuntu1~24.04.2
2026-04-03 08:18:15 upgrade php8.3-zip:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:15 status triggers-pending libapache2-mod-php8.3:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:15 status half-configured php8.3-zip:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:15 status unpacked php8.3-zip:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:15 status half-installed php8.3-zip:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:15 status unpacked php8.3-zip:amd64 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:15 upgrade php8.3-xml:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:15 status half-configured php8.3-xml:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:15 status unpacked php8.3-xml:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:15 status half-installed php8.3-xml:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:15 status unpacked php8.3-xml:amd64 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:16 upgrade php8.3-sqlite3:amd64 8.3.6-0ubuntu0.24.04.7 8.3.6-0ubuntu0.24.04.8
2026-04-03 08:18:16 status half-configured php8.3-sqlite3:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:16 status unpacked php8.3-sqlite3:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:16 status half-installed php8.3-sqlite3:amd64 8.3.6-0ubuntu0.24.04.7
2026-04-03 08:18:16 status unpacked php8.3-sqlite3:amd64 8.3.6-0ubuntu0.24.04.8
